Lang	Latitude	Longitude	NINE	ONE	SEVEN	SIX	TEN	THREE	TWO	EIGHT	FIVE	FOUR
136752	-31,6756756756755	25,4054054054063	b̥ ʊː t̪ʰ    s ɑː l    	ɔu ʄ e ʰt    a ɛ̃ ɹ ʝ    s ɛː aː ʎ    e ɪ ȵ r    	ʜ i̱ k    	w n ɯː e hʷ    nˀ ʏ n e hʷ    	s m æ̃ ɛ ʜ ʰt    	k ɯː tʲ ʰt    	æ̃ s r uː    ʕ lˠ ɯ ɯ    	nˀ á ʰt    	o ʕ m    	tʲ ʜ ɛ k    
124828	-8,25225225225208	32,1621621621631	œ ŋ̩ a    	ʈ ɛ    	ɧ ɔ̃ː    	m p ɛ ñ    	s â f sʰ ũ s    	t ʈ uɔ    ʄ ɟ uɔ    	ɗ ɨ̃ gʰ ɨ̃    	zː a j    	ɭ ɑˑ m    	ʥ f a m̩    f j a ɹ    pː dʲ ʊː k    
95303	-14,5585585585584	39,8198198198208	au s t    	o n̥ e sʰ    s í ɯi bβ    	s ɑ̃ h    ʊ̃ x ɣʲ    	wʲ ɔ ɲ æː b    	s s d ɐi ʌ bʱ    ẽː ʂ ɖʐ ɖʐ ɔ̃ l̪ˠ    		l̪ˠ ʂ ɔ̃ ɔ̃    	x ei bʱ    	s ă̱ d    	ɑː s s h    
56586	2,10810810810828	15,4954954954964	ɦ ei ɔ    		tɕʰ yː k    	dˤː e˞ ə̃ː tː ɕː    oi w s kː    	f tˀ l â õ bv    mʲ ɨˤ ʐ β eˀ ɣ    	k j ɔː l    	bv ʌː j ɑ̃    ʄ r u u    	ʈʰ ɨ l    ɔˑ w ɡ    	l yː χ    	j a tɕʰ k    yː tsʰ m̊ i    s a̠ f b    i f ʈ a    lː ˀd a cː    
100492	-32,1261261261259	19,5495495495505	s e f    	øː s ē r    	ʏ ñ ɖʐ    e˞ f ŋ    	iə w ɑˑ ʄ ŋʷ    	tsʰ m uː tsʰ uː dː    	k k ʊ dː    	uː tsʰ dʲ uː    ŋ̩ ɗ î î    	lʲ uː dː    	ỹ ɸ ç    i j sˤ    	k tsʰ uː k    
107728	-2,84684684684668	14,5945945945955	i qʰ rʲ    	θ œ e r    	ŋ̩ eɪ qχ    	w o e tɕ m̩    rʲ o ʄ eː qχ    w o ŋ e m    t e̞ s sː    	s͈ m ĕ u ŋˑ t    t͈ m ɛi ɔ̃ː f r    	cː o̤ t̪ pf    	lʲ pf ĩ ĩ    	ɐ̃ t r    	i r fʲ    	aː̈ ȵ m    t͈ ĩ ɓ l̥ː    
76059	-31,6756756756755	18,6486486486496	y s dː    ɛ̃ h ɵ    	s o ɔ̃ dʷ    ɯ u̘ s mː    	s y ɲː    ɧ ɐu    	dʑ fː o ɔ̃ bʰ    d̥ dʒ ɔ̃ ɔ̱ bv    	ĩ ɟ s bʰ aɔ dʷ    	o k q dʰ    	s ⁿd u u    ŋ̩ ẽ ɗ ẽ    s d æ æ    	dː ə dʰ    ĩ fː ɦ    œ jː ˀn    	y ⁿd m    	ɟ q ə k    
61213	-15,9099099099097	27,6576576576586	ã s tsʼ    ⁿt ʊ w    ɑː s v    oi d̥ t    	s o eː bʲː    tsʰ o ɔ̱ ʒ    ĩ ɜː tsʰ cː    	f ã ʋ    pʰ əː k    	b ˀd ɔ̆ ɛ̃ ʡ    w ə ʁ ei tɕ    	s i i f m r    	ø j ʋ r    w yː c ʃ    	r s ɑ̠ o    r ɛˀ ɱ o    r nː i i    	tsʼ i r    ɬ æˑ ʮ    	bʲː ə̥ ɾ    i n t̪ʰ    	j ɔ̃ f rː    dʑ uˑ j b    
97002	1,20720720720738	26,3063063063072	g i w    	ou ʮ    ṽ ɐi aː r    	ũː ʃ    f uɔ ð    	iː w tˀ ɛ̃ ɢ    w ʌ āː n l̪ˠ    	eː ʈ tˤ f u mʷ    	ɤ̱ ɤ̱ ai nː    	nː g u u    	ɔ tː i    	f ɐ̃ː ɢ    	x dʒʱ ɪ ɕʲ    bʱ yː f a    ʀ j ɔˑ k    tsʲ yː tː ãː    
105721	0,306306306306476	25,4054054054063	ṽ ɜ̆ b    	b o ɪ pʲ    eː dː    ɯ u̘ s mː    a̱ s ɨ mː    iɪ tʲ u l    	ɧ ɔ̃ː    	n ⁿdz o ɪ m    	ðʲ tɕʰ a k ɐː r    	ŋ̩ ʃː ai tsʲ    j o ⁿd ˀb    	pʰ b ə ə    	ⁿdz ɐi pʲ    ɑ qʰ a    	r ɛ˞ m    	b kʲ æ̃ cː    f dʲ a cː    
128864	-15,0090090090088	30,8108108108117	ə tʰ w    	o ɗː ɯ̃ t    ɑˑ s o r    	ðː ə lː    	w ə ɨ̃ n pʰ    	s ɛ ɣ f ɛˑ ɣ    	ʈ kʷ ɑ r    	ɗ tʰ ɔ̃ː ɔ̃ː    	ɛi w ɗ    	ŋˀ i q    tʼ ou p͈    	ɡ ɛi ðː lː    ɔ̃ ⁿt ⁿt ʈ    qʼ ɨ lʷ ɹ    
115217	-1,49549549549533	27,2072072072081	tɬ æː ɨː    	ɓ əi    o p o̞ː l̥    s ɛo ɒː tʰ    ʑ ɛ    e ˀt o r    	t ʉː    ˀd o d    i f ɳ    	v aː tʰ e m̥    	lʲ æː ɨː    t eː ɵ    ʊː ʒ qχˤ p ɔ̃ː l    ã l̪ m f ɑ̆ lʲ    	nʲ t ɨː    s ɔ: j rː    	v t ʏ    s ɾˠ u u    t v oː    	e w pː    e˞ t dʷ    	r ɨː nʷ    n e̱ dʒʱ    	tsʰ ā ʈ ç    j ʀ ɔˑ k    
120928	-10,5045045045043	35,7657657657667	tɕ ă z    	ð ou y ȵ    	ʒ əi cː    iˀ ts cː    	o kː zː o m    	l ɐ̃ː ðˀ m u mˠ    s ɔˑ m e cçʰ ʃʰ    ⁿd ä m ʒ iu ʒ    	cː ĩː tɕ t    	t tɕ u u    dʲː ʑ u u    	z a d    	tɕ a ʒ cː    θ ɯ̃ sʲ cː    	ɹ a ʁʷ cː    
107726	-11,8558558558557	33,063063063064	dʲː ãː sʲ    ĩ tsʰ w    ʈː ɑː l    	ɯ t e̠ t    a̤ː o tsʰ mʱ    	ʒ ãː cː    	ɯ e̠ v̩ r m    	ȵ i f h u ʃʰ    	t̪ ʁʷ eː ⁿd    	t u dʲː u    	sʲ ɨi t    	t ãː kʰ    	l a ʒ g    
56579	-13,207207207207	15,045045045046	sː ɑː β    	æ̃ e ɕ ɓ    l ɯː ø rʷ    	ʒ ɑː tsʰ    	β æ̃ ɓ ɨ m    	ũ sː m ʒ u ɓ    	sː aɪ tsʰ ɓ    xʲ xʲ ɨ l    	dʰː ia b̥ ia    rʷ ˀm ɔ̃ː ɔ̃ː    	m a̘ ʈː    	e ɟ vː    	ʒ uː sː tsʰ    
